Filename,Author,Date
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,scottyab,2021-05-24
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,scottyab,2021-05-24
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,scottyab,2021-05-21
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,scottyab,2021-05-08
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,stealthcopter,2021-05-24
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,scottyab,2021-05-08
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,stealthcopter,2019-03-14
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,stealthcopter,2017-03-29
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,stealthcopter,2015-06-30
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,stealthcopter,2015-06-30
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,stealthcopter,2015-06-26
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,scottyab,2015-06-26
rootbeerlib/src/main/cpp/toolChecker.cpp,scottyab,2021-05-22
rootbeerlib/src/main/cpp/toolChecker.h,scottyab,2021-05-22
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,scottyab,2021-05-08
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,danielkutik,2019-11-16
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,stealthcopter,2019-03-14
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,altvnv,2018-03-16
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,stealthcopter,2017-03-29
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,stealthcopter,2017-02-15
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,scottyab,2016-07-01
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,scottyab,2016-07-01
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,andyb129,2016-07-01
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,scottyab,2021-05-08
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,danielkutik,2019-11-16
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,stealthcopter,2017-03-24
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,scottyab,2016-07-01
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,andyb129,2016-07-01
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,scottyab,2015-09-16
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,scottyab,2015-06-30
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,scottyab,2015-06-30
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,scottyab,2015-06-29
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,scottyab,2015-06-26
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.kt,scottyab,2021-05-08
app/src/main/java/com/scottyab/rootbeer/sample/RootItemResult.kt,scottyab,2021-05-08
app/src/main/java/com/scottyab/rootbeer/sample/RootSampleApp.kt,scottyab,2021-05-08
app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,scottyab,2021-05-08
app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,danielkutik,2019-11-16
app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,danielkutik,2019-11-16
app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,friederbluemle,2017-05-11
app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,andyb129,2016-07-01
app/src/main/java/com/scottyab/rootbeer/sample/extensions/ViewExtensions.kt,scottyab,2021-05-08
app/src/main/java/com/scottyab/rootbeer/sample/ui/ResultIconView.kt,scottyab,2021-05-08
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootItemAdapter.kt,scottyab,2021-05-08
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootedResultTextView.kt,scottyab,2021-05-08
app/src/main/java/com/scottyab/rootbeer/sample/ui/ScopedActivity.kt,scottyab,2021-05-08
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,scottyab,2021-05-08
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,Fi5t,2020-07-15
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,BlizzedRu,2019-12-09
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,stealthcopter,2019-03-14
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,altvnv,2018-03-16
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,altvnv,2018-03-16
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,altvnv,2018-03-16
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,stealthcopter,2017-03-24
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,scottyab,2015-09-16
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,scottyab,2015-06-30
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,stealthcopter,2015-06-30
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,scottyab,2015-06-29
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,scottyab,2015-06-26
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/Utils.java,scottyab,2021-05-08
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/Utils.java,stealthcopter,2019-03-14
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/Utils.java,scottyab,2015-06-30
rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,scottyab,2021-05-08
rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,stealthcopter,2020-02-03
rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,danielkutik,2020-01-31
rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,danielkutik,2019-11-16
rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,stealthcopter,2019-03-14
rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,stealthcopter,2018-05-11
rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,stealthcopter,2017-10-31
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,namouchislim,2020-07-21
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,stealthcopter,2020-07-21
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,stealthcopter,2020-01-30
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,BlizzedRu,2019-12-09
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,stealthcopter,2019-03-14
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,stealthcopter,2018-05-11
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,stealthcopter,2018-05-11
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,stealthcopter,2018-05-11
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,altvnv,2018-03-16
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,altvnv,2018-03-16
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,altvnv,2018-03-16
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,stealthcopter,2017-09-29
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,friederbluemle,2017-08-19
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,awaseem,2017-08-11
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,vyas-n,2017-05-10
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,stealthcopter,2017-03-29
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,stealthcopter,2017-03-24
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,stealthcopter,2017-03-24
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,stealthcopter,2017-03-13
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,stealthcopter,2017-02-15
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,leocadiotine,2016-09-14
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,stealthcopter,2016-04-18
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,stealthcopter,2015-12-22
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,stealthcopter,2015-12-22
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,stealthcopter,2018-05-11
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,stealthcopter,2017-10-31
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,friederbluemle,2017-08-19
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,friederbluemle,2017-05-11
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,stealthcopter,2017-02-15
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,scottyab,2015-06-26
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,scottyab,2015-06-26
app/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,danielkutik,2019-11-16
app/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,danielkutik,2019-11-16
app/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,friederbluemle,2017-05-11
app/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,scottyab,2015-06-26
rootbeerlib/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,danielkutik,2019-11-16
rootbeerlib/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,danielkutik,2019-11-16
rootbeerlib/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,friederbluemle,2017-05-11
rootbeerlib/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,scottyab,2015-06-26
rootbeerlib/src/main/jni/toolChecker.cpp,scottyab,2021-05-22
rootbeerlib/src/main/jni/toolChecker.cpp,friederbluemle,2017-05-11
rootbeerlib/src/main/jni/toolChecker.cpp,stealthcopter,2017-03-13
rootbeerlib/src/main/jni/toolChecker.cpp,stealthcopter,2017-03-13
rootbeerlib/src/main/jni/toolChecker.h,scottyab,2021-05-22
rootbeerlib/src/main/jni/toolChecker.h,friederbluemle,2017-05-11
rootbeerlib/src/main/jni/toolChecker.h,stealthcopter,2017-03-13
rootbeerlib/jni/toolChecker.cpp,stealthcopter,2017-03-13
rootbeerlib/jni/toolChecker.cpp,stealthcopter,2015-06-30
rootbeerlib/jni/toolChecker.cpp,stealthcopter,2015-06-30
rootbeerlib/jni/toolChecker.cpp,scottyab,2015-06-30
rootbeerlib/jni/toolChecker.cpp,stealthcopter,2015-06-26
rootbeerlib/jni/toolChecker.cpp,scottyab,2015-06-26
rootbeerlib/jni/toolChecker.h,stealthcopter,2017-03-13
rootbeerlib/jni/toolChecker.h,stealthcopter,2015-06-30
rootbeerlib/jni/toolChecker.h,stealthcopter,2015-06-30
rootbeerlib/jni/toolChecker.h,stealthcopter,2015-06-26
rootbeerlib/jni/toolChecker.h,scottyab,2015-06-26
app/src/main/java/com/scottyab/rootchecker/RootCheck.java,scottyab,2015-06-26
app/src/main/java/com/scottyab/rootchecker/RootCheck.java,stealthcopter,2015-06-26
app/src/main/java/com/scottyab/rootchecker/RootCheck.java,stealthcopter,2015-06-26
app/src/main/java/com/scottyab/rootchecker/RootCheck.java,scottyab,2015-06-19
app/src/main/java/com/scottyab/rootchecker/RootCheck.java,scottyab,2015-06-19
app/src/main/java/com/scottyab/rootchecker/RootCheck.java,stealthcopter,2015-06-19
app/src/main/java/com/scottyab/rootchecker/RootCheck.java,scottyab,2015-06-19
app/src/main/java/com/scottyab/rootchecker/Const.java,scottyab,2015-06-26
app/src/main/java/com/scottyab/rootchecker/Const.java,stealthcopter,2015-06-26
app/src/main/java/com/scottyab/rootchecker/MainActivity.java,scottyab,2015-06-26
app/src/main/java/com/scottyab/rootchecker/MainActivity.java,stealthcopter,2015-06-26
app/src/main/java/com/scottyab/rootchecker/MainActivity.java,stealthcopter,2015-06-19
app/src/main/java/com/scottyab/rootchecker/MainActivity.java,scottyab,2015-06-19
app/jni/toolChecker.cpp,scottyab,2015-06-26
app/jni/toolChecker.cpp,stealthcopter,2015-06-19
app/jni/toolChecker.h,scottyab,2015-06-26
app/jni/toolChecker.h,stealthcopter,2015-06-19
app/src/main/java/com/scottyab/rootchecker/RootCheckNative.java,scottyab,2015-06-26
app/src/main/java/com/scottyab/rootchecker/RootCheckNative.java,stealthcopter,2015-06-19
app/src/main/java/com/scottyab/rootchecker/RootCheckNative.java,stealthcopter,2015-06-19
app/jni/rootChecker.cpp,stealthcopter,2015-06-19
app/jni/rootChecker.cpp,stealthcopter,2015-06-19
app/jni/rootChecker.h,stealthcopter,2015-06-19
app/jni/rootChecker.h,stealthcopter,2015-06-19
app/src/androidTest/java/com/scottyab/rootchecker/ApplicationTest.java,scottyab,2015-06-26
app/src/androidTest/java/com/scottyab/rootchecker/ApplicationTest.java,scottyab,2015-06-19
app/src/main/java/com/scottyab/rootchecker/util/QLog.java,scottyab,2015-06-26
app/src/main/java/com/scottyab/rootchecker/util/QLog.java,scottyab,2015-06-19
